model,model_dir,dataset,quartile,n_in_bin,greedy_acc,sc_acc,delta,size_B
Llama-3.2-3B,meta-llama__Llama-3.2-3B-Instruct,squad,Q3,459,0.16339869281045752,0.12200435729847495,-0.04139433551198257,3.2
Llama-3.2-3B,meta-llama__Llama-3.2-3B-Instruct,triviaqa,Q1,252,0.9206349206349206,0.9166666666666666,-0.003968253968253954,3.2
Llama-3.2-3B,meta-llama__Llama-3.2-3B-Instruct,triviaqa,Q2,250,0.764,0.748,-0.016000000000000014,3.2
Llama-3.2-3B,meta-llama__Llama-3.2-3B-Instruct,triviaqa,Q3,358,0.5558659217877095,0.5195530726256983,-0.036312849162011274,3.2
Llama-3.2-3B,meta-llama__Llama-3.2-3B-Instruct,triviaqa,Q4,140,0.3357142857142857,0.2785714285714286,-0.057142857142857106,3.2
Qwen2.5-7B,Qwen__Qwen2.5-7B-Instruct,nq_open,Q1,259,0.5868725868725869,0.5907335907335908,0.0038610038610038533,7.0
Qwen2.5-7B,Qwen__Qwen2.5-7B-Instruct,nq_open,Q2,241,0.35684647302904565,0.3775933609958506,0.02074688796680496,7.0
Qwen2.5-7B,Qwen__Qwen2.5-7B-Instruct,nq_open,Q3,325,0.15384615384615385,0.19384615384615383,0.03999999999999998,7.0
Qwen2.5-7B,Qwen__Qwen2.5-7B-Instruct,nq_open,Q4,175,0.13142857142857142,0.11428571428571428,-0.01714285714285714,7.0
Qwen2.5-7B,Qwen__Qwen2.5-7B-Instruct,squad,Q1,251,0.38247011952191234,0.38247011952191234,0.0,7.0
Qwen2.5-7B,Qwen__Qwen2.5-7B-Instruct,squad,Q2,261,0.17624521072796934,0.19157088122605365,0.01532567049808431,7.0
Qwen2.5-7B,Qwen__Qwen2.5-7B-Instruct,squad,Q3,275,0.09454545454545454,0.08727272727272728,-0.007272727272727264,7.0
Qwen2.5-7B,Qwen__Qwen2.5-7B-Instruct,squad,Q4,213,0.06103286384976526,0.07511737089201878,0.014084507042253523,7.0
Qwen2.5-7B,Qwen__Qwen2.5-7B-Instruct,triviaqa,Q1,337,0.9109792284866469,0.9109792284866469,0.0,7.0
Qwen2.5-7B,Qwen__Qwen2.5-7B-Instruct,triviaqa,Q2,164,0.6890243902439024,0.6951219512195121,0.0060975609756097615,7.0
Qwen2.5-7B,Qwen__Qwen2.5-7B-Instruct,triviaqa,Q3,251,0.46215139442231074,0.4860557768924303,0.023904382470119556,7.0
Qwen2.5-7B,Qwen__Qwen2.5-7B-Instruct,triviaqa,Q4,248,0.2217741935483871,0.23387096774193547,0.012096774193548376,7.0
